KAM,Nº DO PEDIDO,CLIENTE,DATA RECEBIMENTO SM,DATA RECEBIMENTO OFICIAL (PEDIDO COMPLETO),DATA APROVAÇÃO NO TOTVS,DATA ENVIO PARA O PD,PENDÊNCIAS (MOTIVO)
Wilton Moura,LIVPBRA1901181,BRASCOM LTDA,,19/1/2026,,20/1/2026,
Anna Julia Junkes,LIVMFUN0701643,CINCATARINA - FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PAPANDUVA,,,,7/1/2026,
Anna Julia Junkes,LIVMMUN0701843,CINCATARINA - ITAPOA - CAMARA MUNICIPAL DE VEREADORES,,,,7/1/2026,
Anna Julia Junkes,LIVMMUN0701003,CINCATARINA - MUNICIPIO DE IMBITUBA,,,,7/1/2026,
Anna Julia Junkes,LIVMMUN0701622,CINCATARINA - MUNICIPIO DE ITAPOA,,,,7/1/2026,
Anna Julia Junkes,LIVMMUN1612133,CINCATARINA - MUNICÍPIO DE RODEIO,,,,16/12/2025,
Anna Julia Junkes,LIVMENE1501105,ENERGIA ATUAL LTDA,,,,15/1/2026,
Anna Julia Junkes,LIVMENE2201840,ENERGIA ATUAL LTDA,,,,22/1/2026,
Leonardo Dib,LIVDFOR616576,FORTLEV ENERGIA SOLAR LTDA,,8/1/2026,,15/1/2026,
Beatriz Sales,LIVMJOR1501391,GWM - GEE MOTORS LTDA,,,,15/1/2026,
Beatriz Sales,LIVMGRE1301440,GREENV MOBILIDADE ELETRICA BRASIL S.A,,,,15/1/2026,
Beatriz Sales,LIVMGRE1301522,GREENV MOBILIDADE ELETRICA BRASIL S.A,,,,15/1/2026,
Beatriz Sales,LIVMGW-0112967,GWM - GW - CAMINHO AUTOMOVEIS LTDA,,,,3/12/2025,
Beatriz Sales,LIVMINF2201172,"GWM - INFINITY VEICULOS, PECAS E SERVICOS LTDA",,,,22/1/2026,
Kelly Li,LIVDJOI0501492,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,,,5/1/2026,
Mateus Armado,LIVDMIN1301037,"""L & F COMERCIO, PROJETOS E
  CONSULTORIA LTDA - Minha Casa Solar""",,,,13/1/2026,
Marcelo Leite,LIVDM.L1401582,M. L. BEDIN & CIA LTDA,,14/1/2026,,15/1/2026,
Marcelo Leite,LIVPOIW2201852,OIW INDUSTRIA ELETRONICA S.A,,,,22/1/2026,
Anna Julia Junkes,LIVMZUU1612305,ZUUZ - MOBILIDADE ELETRICA LTDA,,,,14/1/2026,
Kelly Li,LIVDJNG1025035,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,26/9/2025,,15/10/2025,
